fecha_hora,segundos,temperatura,meta_temp,humedad,meta_hum,foco,ingreso,humidificador,extractor
2026-09-02 05:55:20,170.1,22.4,22.0,46.3,50.0,0,0,0,0
2026-09-02 05:55:22,172.0,22.4,22.0,46.3,50.0,0,0,0,0
2026-09-02 05:55:24,174.0,22.4,22.0,46.3,50.0,0,0,0,0
2026-09-02 05:55:26,176.1,22.4,22.0,46.2,50.0,0,0,0,0
2026-09-02 05:55:28,178.1,22.4,22.0,46.2,50.0,0,0,0,0
2026-09-02 05:55:30,180.1,22.4,22.0,46.2,50.0,0,0,0,0
2026-09-02 05:55:32,182.1,22.4,22.0,46.2,50.0,0,0,0,0
2026-09-02 05:55:34,184.1,22.4,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:55:36,186.1,22.4,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:55:38,188.1,22.4,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:55:40,190.1,22.4,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:55:42,192.1,22.4,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:55:44,194.1,22.4,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:55:46,196.1,22.3,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:55:48,198.1,22.3,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:55:50,200.1,22.3,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:55:52,202.1,22.3,22.0,46.0,50.0,0,0,0,0
2026-09-02 05:55:54,204.1,22.3,22.0,46.0,50.0,0,0,0,0
2026-09-02 05:55:56,206.2,22.3,22.0,46.0,50.0,0,0,0,0
2026-09-02 05:55:58,208.2,22.3,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:00,210.2,22.3,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:02,212.2,22.3,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:04,214.2,22.3,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:06,216.2,22.3,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:08,218.2,22.3,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:10,220.2,22.3,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:12,222.2,22.3,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:14,224.2,22.3,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:16,226.2,22.3,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:18,228.2,22.3,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:20,230.2,22.2,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:22,232.2,22.2,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:24,234.2,22.2,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:26,236.2,22.2,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:28,238.3,22.2,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:30,240.3,22.2,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:32,242.3,22.2,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:34,244.3,22.2,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:36,246.3,22.2,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:38,248.3,22.2,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:40,250.3,22.2,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:42,252.3,22.2,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:44,254.3,22.2,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:46,256.3,22.1,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:48,258.3,22.1,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:50,260.3,22.1,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:52,262.3,22.1,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:54,264.3,22.1,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:56,266.3,22.1,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:56:58,268.4,22.1,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:57:00,270.4,22.1,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:57:02,272.4,22.1,22.0,46.1,50.0,0,0,0,0
2026-09-02 05:57:04,274.4,22.1,22.0,46.2,50.0,0,0,0,0
2026-09-02 05:57:06,276.4,22.1,22.0,46.2,50.0,0,0,0,0
