date,time,tara,tweight,dweight,pweight,chemical_id,MUESTRA,%Fe,%Cu,%Zn,%Mo,%Ins,pSol,CODIGO_MUESTRA
2023/02/10,11:19:00,110,1020.5,252,910.5,5026,Concentrado Colectivo,28.71,25.07,0.125,1.263,11.56,27.68,C_01_S10
2023/02/10,11:29:00,110,1232,194.5,1122,5027,Concentrado Primario L2,23.76,12.04,0.071,0.6,34.16,17.34,C_01_S14
2023/02/13,11:16:00,110,1159,271,1049,5033,Relave Final,3.402,0.071,0.002,0.003,0,25.83,C_01_S03
2023/02/13,11:22:00,108,1229.5,399,1121.5,5031,Rebose Hidrociclones L1,3.476,0.443,0.005,0.015,0,35.58,C_01_S01
2023/02/13,11:25:00,109,1234,428.5,1125,5032,Rebose Hidrociclones L2,3.252,0.474,0.004,0.015,0,38.09,C_01_S02
2023/02/13,11:47:00,111.5,1234.5,399,1123,5034,Concentrado Primario L2,26.04,15.67,0,0.601,25.46,35.53,C_01_S14
2023/02/15,15:33:00,110,1153.5,270.5,1043.5,5040,Relave Final,2.934,0.054,0,0.001,0,25.92,C_01_S03
2023/02/15,15:36:00,108,1250,420.5,1142,5038,Rebose Hidrociclones L1,3.31,0.448,0.008,0.006,0,36.82,C_01_S01
2023/02/15,15:39:00,109,1242,403.5,1133,5039,Rebose Hidrociclones L2,3.342,0.58,0.009,0.008,0,35.61,C_01_S02
2023/02/15,15:41:00,109,1127,390.5,1018,5041,Concentrado Colectivo,28.74,22.37,0.267,0.489,13.84,38.36,C_01_S10
2023/02/15,15:42:00,109,1234.5,402.5,1125.5,5042,Concentrado Primario L2,25.19,13.98,0.161,0.261,29.4,35.76,C_01_S14
2023/02/17,10:49:00,110,1209.5,276,1099.5,5047,Relave Final,3.065,0.048,0,0.002,0,25.1,C_01_S03
2023/02/17,10:51:00,109,1276,397.5,1167,5046,Rebose Hidrociclones L2,3.643,0.563,0.006,0.013,0,34.06,C_01_S02
2023/02/17,10:53:00,109,1015.5,208,906.5,5048,Concentrado Colectivo,29.99,22.77,0.186,0.628,10.34,22.95,C_01_S10
2023/02/17,10:55:00,109,1255,406.5,1146,5049,Concentrado Primario L2,27.11,14.08,0.109,0.394,25.22,35.47,C_01_S14
2023/02/17,10:59:00,108,1236.5,348.5,1128.5,5045,Rebose Hidrociclones L1,3.495,0.411,0.005,0.012,0,30.88,C_01_S01
2023/02/20,11:34:00,108,1289,434,1181,5052,Rebose Hidrociclones L1,3.637,0.353,0.01,0.004,0,36.75,C_01_S01
2023/02/20,11:36:00,110,1242,333,1132,5053,Relave Final,3.419,0.04,0,0.001,0,29.42,C_01_S03
2023/02/20,11:38:00,109,1015,214,906,5054,Concentrado Colectivo,28.87,24.47,0.392,0.31,8.96,23.62,C_01_S10
2023/02/20,11:40:00,109,1250.5,402.5,1141.5,5055,Concentrado Primario L2,25.75,13.28,0.264,0.181,26.02,35.26,C_01_S14
2023/02/22,10:31:00,110,1204.5,322.5,1094.5,5058,Relave Final,2.986,0.041,0,0.002,0,29.47,C_01_S03
2023/02/22,10:34:00,108,1243.5,412.5,1135.5,5056,Rebose Hidrociclones L1,3.21,0.361,0.006,0.007,0,36.33,C_01_S01
2023/02/22,10:37:00,109,1281.5,441.5,1172.5,5057,Rebose Hidrociclones L2,3.253,0.401,0.007,0.008,0,37.65,C_01_S02
2023/02/22,10:38:00,109,1209,380,1100,5060,Concentrado Primario L2,27.64,14.58,0.175,0.326,21.86,34.55,C_01_S14
2023/02/22,10:49:00,109,976,178.5,867,5059,Concentrado Colectivo,29.71,25.17,0.306,0.504,6.86,20.59,C_01_S10
2023/02/24,11:17:00,110,1205.5,287,1095.5,5065,Relave Final,4.082,0.044,0,0.002,0,26.2,C_01_S03
2023/02/24,11:23:00,109,999.5,176.5,890.5,5066,Concentrado Colectivo,29,22.97,0.802,1.111,10.86,19.82,C_01_S10
2023/02/24,11:25:00,109,1251.5,432,1142.5,5067,Concentrado Primario L2,27.64,11.89,0.467,0.542,24.68,37.81,C_01_S14
2023/02/24,11:25:00,108,1152.5,199.5,1044.5,5063,Rebose Hidrociclones L1,4.655,0.377,0.017,0.013,0,19.1,C_01_S01
2023/02/24,11:27:00,109,1302,443.5,1193,5064,Rebose Hidrociclones L2,4.161,0.429,0.017,0.015,0,37.18,C_01_S02
2023/02/27,18:15:00,109,1278.5,417.5,1169.5,5073,Relave Final,3.209,0.051,0,1.12,0,35.7,C_01_S03
2023/02/27,18:18:00,109.5,1318.5,446.5,1209,5071,Rebose Hidrociclones L1,3.816,0.368,0.016,0.016,0,36.93,C_01_S01
2023/02/27,18:20:00,110,1336.5,489,1226.5,5072,Rebose Hidrociclones L2,3.882,0.391,0.017,0.018,0,39.87,C_01_S02
2023/02/27,18:23:00,110,1299.5,467.5,1189.5,5075,Concentrado Primario L2,28.32,14.63,0.227,0.688,10.3,39.3,C_01_S14
2023/02/27,18:25:00,111,1115,332,1004,5074,Concentrado Colectivo,30.92,20.4,0.286,0.974,10.18,33.07,C_01_S10
2023/03/01,10:48:00,110,1222.5,300.5,1112.5,5077,Relave Final,3.514,0.074,0,0.004,0,27.01,C_01_S03
2023/03/01,10:50:00,109,1336,498,1227,5076,Rebose Hidrociclones L2,3.128,0.417,0.052,0.016,0,40.59,C_01_S02
2023/03/01,10:52:00,109,815.5,553.5,706.5,5079,Concentrado Primario L2,27.53,9.65,0.246,0.415,19.96,78.34,C_01_S14
2023/03/01,11:58:00,109,1362,123.5,1253,5078,Concentrado Colectivo,30.37,24.38,0.248,1.022,6.3,9.86,C_01_S10
2023/03/03,10:29:00,109,1066.5,252,957.5,5085,Concentrado Colectivo,30.72,23.88,0.303,0.67,8.28,26.32,C_01_S10
2023/03/03,10:30:00,109,1115.5,100,1006.5,5083,Rebose Hidrociclones L2,7.888,0.582,0.011,0.012,,9.94,C_01_S02
2023/03/03,10:32:00,109,1169.5,247.5,1060.5,5086,Concentrado Primario L2,31.5,8.96,0.135,0.241,21.98,23.34,C_01_S14
2023/03/03,10:33:00,110,1220.5,251.5,1110.5,5084,Relave Final,4.368,0.049,,0.002,,22.65,C_01_S03
2023/03/03,10:35:00,108,1102.5,84.5,994.5,5082,Rebose Hidrociclones L2,8.76,0.382,0.011,0.009,,8.5,C_01_S02
2023/03/06,12:17:00,110,1159.5,172.5,1049.5,5092,Relave Final,4.926,0.037,,0.002,,16.44,C_01_S03
2023/03/06,12:20:00,109,1303.5,419.5,1194.5,5091,Rebose Hidrociclones L2,3.017,0.449,0.009,0.009,,35.12,C_01_S02
2023/03/06,12:25:00,109,952,103,843,5093,Concentrado Colectivo,32.77,25.17,0.377,0.395,6.26,12.22,C_01_S10
2023/03/06,12:31:00,109,1155.5,249.5,1046.5,5094,Concentrado Primario L2,28.4,15.92,0.213,0.314,21.06,23.84,C_01_S14
2023/03/06,12:36:00,108,1266.5,372,1158.5,5090,Rebose Hidrociclones L1,29.46,0.423,0.008,0.009,,32.11,C_01_S01
2023/03/08,11:22:00,110,1192,331.5,1082,5100,Relave Final,2.701,0.044,,0.002,,30.64,C_01_S03
2023/03/08,11:25:00,109,1247.5,420.5,1138.5,5099,Rebose Hidrociclones L2,3.219,0.412,0.007,0.011,,36.93,C_01_S02
2023/03/08,11:28:00,108,1249,422,1141,5098,Rebose Hidrociclones L1,30.88,0.376,0.006,0.011,,36.99,C_01_S01
2023/03/08,11:30:00,109,1282,436,1173,5102,Concentrado Primario L2,26.73,14.03,0.167,0.442,23.82,37.17,C_01_S14
2023/03/08,11:32:00,109,987,170,878,5101,Concentrado Colectivo,28.72,23.32,0.251,0.8,9.72,19.36,C_01_S10
2023/03/13,12:20:00,111.5,1237.5,440,1126,5104,Rebose Hidrociclones L2,3.875,0.387,0.012,0.012,,39.08,C_01_S02
2023/03/13,12:22:00,109,1072.5,329.5,963.5,5105,Concentrado Colectivo,30.03,22.86,0.355,0.722,10.1,34.2,C_01_S10
2023/03/13,12:24:00,109,1013,329,904,5106,Concentrado Primario L2,27.1,13.49,0.274,0.464,24.82,36.39,C_01_S14
2023/03/13,12:34:00,108,1129.5,375,1021.5,5103,Rebose Hidrociclones L1,29.69,0.342,0.01,0.012,,36.71,C_01_S01
2023/03/15,11:08:00,110,1116,204,1006,5112,Relave Final,2.59,0.05,0.002,0.004,,20.28,C_01_S03
2023/03/15,11:11:00,108,1192,305.5,1084,5110,Rebose Hidrociclones L2,3.164,0.364,0.005,0.022,,28.18,C_01_S02
2023/03/15,11:14:00,111.5,1280.5,482,1169,5111,Rebose Hidrociclones L1,28.42,0.506,0.004,0.026,,41.23,C_01_S01
2023/03/15,11:16:00,109,1218,407,1109,5114,Concentrado Primario L2,24.18,16.14,0.083,0.931,27.4,36.7,C_01_S14
2023/03/15,12:22:00,109,1000,252.5,891,5113,Concentrado Colectivo,28.17,25.02,0.122,1.33,11.48,28.34,C_01_S10
2023/03/17,17:17:00,109.5,698,243,588.5,5084,Concentrado Primario L2,27.39,16.18,0.085,0.69,21.2,41.29,C_01_S14
2023/03/17,17:18:00,110,1247,417,1137,5081,Rebose Hidrociclones L2,2.777,0.539,0.005,0.022,,36.68,C_01_S02
2023/03/17,17:20:00,110,1034,231,924,5083,Concentrado Colectivo,28.92,26.37,0.153,1.07,7.82,25,C_01_S10
2023/03/17,17:22:00,109,1164,320,1055,5082,Relave Final,2.574,0.052,,0.003,,30.33,C_01_S03
2023/03/22,16:43:00,109,832.5,195,723.5,5129,Concentrado Colectivo,31.56,23.44,0.144,1.336,6.9,26.95,C_01_S10
2023/03/22,16:44:00,109,1069,88,960,5128,Relave Final,6.437,0.061,0.004,0.004,,9.17,C_01_S03
2023/03/22,16:48:00,108,1181,294,1073,5126,Rebose Hidrociclones L2,2.302,0.433,0.005,0.019,,27.4,C_01_S02
2023/03/22,16:54:00,111.5,1237,400,1125.5,5130,Concentrado Primario L2,30.39,11.12,0.11,0.646,22.08,35.54,C_01_S14
2023/03/22,17:28:00,110,1238,403,1128,5127,Rebose Hidrociclones L1,26.18,0.407,0.005,0.017,,35.73,C_01_S01
2023/03/24,12:26:00,108,937.5,286,829.5,5135,Rebose Hidrociclones L1,3.751,0.458,0.007,0.011,,34.48,C_01_S01
2023/03/24,12:31:00,109,968,236.5,859,5136,Relave Final,3.144,0.063,0.003,0.003,,27.53,C_01_S03
2023/03/24,12:33:00,109,897,211.5,788,5137,Concentrado Colectivo,33.42,22.123,0.186,0.536,5.48,26.84,C_01_S10
2023/03/24,12:35:00,111.5,1169.5,427,1058,5138,Concentrado Primario L1,33.4,9.489,0.104,0.271,18.84,40.36,C_01_S15
2023/03/27,11:05:00,110,1144.5,236.5,1034.5,5144,Relave Final,2.545,0.062,0.002,0.003,,22.86,C_01_S03
2023/03/27,11:07:00,110,1046.5,267,936.5,5145,Concentrado Colectivo,32.31,22.373,,0.811,7.22,28.51,C_01_S10
2023/03/27,11:09:00,110,1292,472.5,1182,5143,Rebose Hidrociclones L1,3.243,0.445,0.006,0.011,,39.97,C_01_S01
2023/03/27,11:21:00,109.5,1102,136.5,992.5,5142,Rebose Hidrociclones L2,5.973,0.335,0.006,0.011,,13.75,C_01_S02
2023/03/29,11:27:00,109,1194,315.5,1085,5148,Relave Final,2.645,0.053,0.002,0.021,,29.08,C_01_S03
2023/03/29,11:30:00,110,1285.5,454.5,1175.5,5147,Rebose Hidrociclones L2,3.646,0.387,0.007,0.01,,38.66,C_01_S02
2023/03/29,11:33:00,108,1276,436.5,1168,5146,Rebose Hidrociclones L1,3.549,0.358,0.005,0.011,,37.37,C_01_S01
2023/03/29,11:35:00,109,1040,252.5,931,5149,Concentrado Colectivo,30.24,24.68,0.219,0.774,6,27.12,C_01_S10
2023/04/10,12:19:00,109.5,1293.5,433.5,1184,,Rebose Hidrociclones L1,,,,,,36.61,C_01_S01
2023/04/10,12:21:00,110,1243.5,384,1133.5,,Relave Final,,,,,,33.88,C_01_S03
2023/04/10,12:23:00,110,995.5,160.5,885.5,,Concentrado Colectivo,,,,,,18.13,C_01_S10
2023/04/10,12:25:00,109,987.5,26,878.5,,Concentrado Primario L2,,,,,,2.96,C_01_S14
2023/04/10,12:28:00,111.5,1012,60,900.5,,Concentrado Primario L1,,,,,,6.66,C_01_S15
2023/04/14,10:55:00,110,1230,318,1120,5159,Relave Final,2.924,0.06,0.004,0.005,0,28.39,C_01_S03
2023/04/14,10:57:00,110,1017,200,907,5160,Concentrado Colectivo,29.86,25.18,0.177,1.44,9.44,22.05,C_01_S10
2023/04/14,10:58:00,109,996,57,887,5161,Concentrado Primario L2,27.59,20.23,0.152,1.032,18.56,6.43,C_01_S14
2023/04/14,11:01:00,111.5,1132.5,213.5,1021,5162,Concentrado Primario L1,26.26,13.85,0,0.853,27.8,20.91,C_01_S15
2023/04/14,11:26:00,109.5,1324,441.5,1214.5,5158,Rebose Hidrociclones L1,3.64,0.51,0.008,0.027,0,36.35,C_01_S01
2023/04/17,16:01:00,108,1325,492,1217,5166,Rebose Hidrociclones L1,1.96,0.42,0.007,0.028,,40.43,C_01_S01
2023/04/17,16:07:00,109.5,1221.5,310.5,1112,5167,Relave Final,1.22,0.073,0.002,0.008,,27.92,C_01_S03
2023/04/17,16:09:00,111,1030,106,919,5170,Concentrado Primario L1,25.04,15.224,0,0.76,27.48,11.53,C_01_S15
2023/04/17,16:11:00,109.5,1007,81.5,897.5,5169,Concentrado Primario L2,25.56,17.51,0.115,0.8,24.14,9.08,C_01_S14
2023/04/17,16:13:00,109,994.5,179.5,885.5,5168,Concentrado Colectivo,25.24,27.56,0.149,1.51,8.02,20.27,C_01_S10
2023/04/19,10:34:00,109.5,1191.5,290,1082,5174,Rebose Hidrociclones L1,3.792,0.293,0.005,0.012,,26.8,C_01_S01
2023/04/19,10:36:00,100,972,156,872,5176,Concentrado Colectivo,30.24,24.78,0.2,1.11,6.5,17.89,C_01_S10
2023/04/19,10:37:00,109,1009,70,900,5177,Concentrado Primario L2,30.47,10.35,0.097,0.35,20.8,7.78,C_01_S14
