date,time,tara,tweight,dweight,pweight,chemical_id,MUESTRA,%Fe,%Cu,%Zn,%Mo,%Ins,pSol,CODIGO_MUESTRA
2022/12/05,15:23:00,109,1177.5,310.5,1068.5,4846,Relave Final,2.394,0.058,0,0.005,0,29.06,C_01_S03
2022/12/05,15:25:00,110,1205.5,325.5,1095.5,4848,Concentrado Primario L1,25.65,12.44,0.067,0.545,29.9,29.71,C_01_S15
2022/12/05,15:27:00,109.5,1255,433,1145.5,4845,Rebose Hidrociclones L1,27.52,0.512,0.005,0.02,,37.8,C_01_S01
2022/12/05,15:38:00,110,1027,234.5,917,4847,Concentrado Colectivo,31.31,22.19,0.111,0.93,10.56,25.57,C_01_S10
2022/12/07,12:04:00,109.5,1230,415.5,1120.5,4851,Rebose Hidrociclones L1,25.96,0.481,0.004,0.017,,37.08,C_01_S01
2022/12/07,12:06:00,110,1210,372.5,1100,4852,Relave Final,2.377,0.072,0,0.005,0,33.86,C_01_S03
2022/12/07,12:08:00,109,964.5,163.5,855.5,4853,Concentrado Colectivo,29.19,26.77,0.081,1.18,10,19.11,C_01_S10
2022/12/07,12:10:00,111.5,1176,319,1064.5,4854,Concentrado Primario L1,24.27,15.22,0.056,0.69,29.54,29.97,C_01_S15
2022/12/09,10:50:00,109.5,1206,386,1096.5,4859,Rebose Hidrociclones L1,2.648,0.512,0.003,0.014,,35.2,C_01_S01
2022/12/09,10:52:00,110,966,213.5,856,4861,Concentrado Colectivo,31.11,23.491,0.057,0.736,11.16,24.94,C_01_S10
2022/12/09,10:54:00,109,1168,326,1059,4860,Relave Final,2.089,0.045,0,0.005,0,30.78,C_01_S03
2022/12/09,10:55:00,109,1249,453,1140,4862,Concentrado Primario L2,27.5,16.057,0.036,0.384,25.1,39.74,C_01_S14
2022/12/09,10:58:00,110,1112,223.5,1002,4863,Concentrado Primario L1,24.79,13.679,0.036,0.368,30.68,22.31,C_01_S15
2022/12/14,10:16:00,109,1165,315,1056,4879,Relave Final,2.068,0.049,0,0.002,0,29.83,C_01_S03
2022/12/14,10:20:00,109.5,1216,360,1106.5,4878,Rebose Hidrociclones L1,2.459,0.421,0.003,0.016,,32.54,C_01_S01
2022/12/14,10:21:00,110,1070,283.5,960,4880,Concentrado Colectivo,29.49,24.331,0.068,1.03,10.1,29.53,C_01_S10
2022/12/14,10:23:00,109,1219,362,1110,4881,Concentrado Primario L2,27.84,16.188,0.058,0.67,22.4,32.61,C_01_S14
2022/12/14,10:25:00,110,1192,310.5,1082,4882,Concentrado Primario L1,27.27,14.201,0.054,0.62,24.24,28.7,C_01_S15
2022/12/19,12:22:00,109,904,316,795,4890,Concentrado Primario L2,27.86,12.116,0.045,0.42,24.26,39.75,C_01_S14
2022/12/19,12:23:00,109,1242,388.5,1133,4888,Relave Final,1.832,0.048,0,0.002,0,34.29,C_01_S03
2022/12/19,12:25:00,110,1179.5,293,1069.5,4891,Concentrado Primario L1,28.44,13.208,0.055,0.53,22.6,27.4,C_01_S15
2022/12/19,12:29:00,110,1136,181.5,1026,4887,Rebose Hidrociclones L2,2.591,0.612,0.003,0.015,,17.69,C_01_S02
2022/12/19,12:31:00,110,1004,217.5,894,4889,Concentrado Colectivo,30.57,24.726,0.079,0.9,9.06,24.33,C_01_S10
2022/12/21,11:26:00,110,1260,410.5,1150,4897,Relave Final,2.202,0.055,0,1.11,0,35.7,C_01_S03
2022/12/21,11:29:00,108,1327.5,520.5,1219.5,4895,Rebose Hidrociclones L1,2.635,0.484,0.005,0.014,,42.68,C_01_S01
2022/12/21,11:32:00,109,1300,475.5,1191,4896,Rebose Hidrociclones L2,2.829,0.598,0.005,0.017,,39.92,C_01_S02
2022/12/21,11:33:00,109,1019,236,910,4898,Concentrado Colectivo,28.18,25.92,0.112,1.09,11.78,25.93,C_01_S10
2022/12/21,11:35:00,109.5,1254.5,447.5,1145,4899,Concentrado Primario L2,25.82,17.88,0.092,0.66,24.46,39.08,C_01_S14
2022/12/21,11:37:00,111.5,1269,403,1157.5,4900,Concentrado Primario L1,27.9,14.5,0.092,0.63,23.66,34.82,C_01_S15
2022/12/26,11:52:00,108,1143,394,1035,4905,Rebose Hidrociclones L1,2.361,0.394,0.003,0.023,,38.07,C_01_S01
2022/12/26,11:53:00,110,933.5,230,823.5,4908,Concentrado Colectivo,27.8,23.97,0.072,1.35,13.16,27.93,C_01_S10
2022/12/26,11:55:00,109,1134,338,1025,4907,Relave Final,2.153,0.044,0,0.003,0,32.98,C_01_S03
2022/12/26,11:57:00,109.5,983.5,101.5,874,4910,Concentrado Primario L1,21.59,14.58,0.046,0.877,34.24,11.61,C_01_S15
2022/12/26,11:58:00,110,1195,427,1085,4906,Rebose Hidrociclones L2,2.385,0.518,0.003,0.027,,39.35,C_01_S02
2022/12/26,12:00:00,109,1176.5,402,1067.5,4909,Concentrado Primario L2,25.28,16.48,0.05,0.92,26.6,37.66,C_01_S14
2022/12/28,9:52:00,109.5,1160,312,1050.5,4918,Concentrado Primario L2,23.14,18.34,0.176,1.08,27.02,29.7,C_01_S14
2022/12/28,9:54:00,112,1296.5,474.5,1184.5,4914,Rebose Hidrociclones L1,2.112,0.478,0.004,0.032,,40.06,C_01_S01
2022/12/28,9:56:00,109,1015,230.5,906,4917,Concentrado Colectivo,26.84,27.01,0.261,1.56,10.52,25.44,C_01_S10
2022/12/28,9:59:00,109,1319.5,516.5,1210.5,4915,Rebose Hidrociclones L2,2.129,0.568,0.004,0.037,,42.67,C_01_S02
2022/12/28,10:01:00,111.5,1086,172.5,974.5,4919,Concentrado Primario L1,22.73,17.15,0.176,1.03,29.04,17.7,C_01_S15
2022/12/28,10:02:00,110,1226,346.5,1116,4916,Relave Final,1.688,0.059,0,0.008,0,31.05,C_01_S03
2023/01/02,11:44:00,112,1225,384,1113,4922,Rebose Hidrociclones L1,2.65,0.369,0.006,0.02,,34.5,C_01_S01
2023/01/02,11:48:00,110,1185.5,339,1075.5,4924,Relave Final,2.424,0.05,0,0.005,0,31.52,C_01_S03
2023/01/02,11:50:00,111.5,902.5,107,791,4927,Concentrado Primario L1,22.61,13.93,0.128,0.798,33.1,13.53,C_01_S15
2023/01/02,11:53:00,109.5,1238.5,384,1129,4926,Concentrado Primario L2,26.66,13.53,0.122,0.745,25.9,34.01,C_01_S14
2023/01/02,11:57:00,109,983.5,158.5,874.5,4925,Concentrado Colectivo,30.11,24.48,0.204,1.156,8.68,18.12,C_01_S10
2023/01/02,11:58:00,109,1088,169,979,4923,Rebose Hidrociclones L2,3.367,0.405,0.006,0.022,,17.26,C_01_S02
2023/01/04,10:48:00,109,1113,190.5,1004,4932,Relave Final,3.295,0.053,0,0.006,0,18.97,C_01_S03
2023/01/04,10:52:00,108,1266,371.5,1158,4931,Rebose Hidrociclones L1,2.524,0.312,0.003,0.03,,32.08,C_01_S01
2023/01/04,10:54:00,110,949,131.5,839,4933,Concentrado Colectivo,28.97,22.39,0.084,2.248,11.32,15.67,C_01_S10
2023/01/09,11:03:00,110,1013,241,903,4939,Concentrado Colectivo,30.28,23.57,0.094,1.49,9.28,26.69,C_01_S10
2023/01/09,11:10:00,109,1240.5,360.5,1131.5,4938,Relave Final,1.775,0.034,0,0.003,0,31.86,C_01_S03
2023/01/09,11:14:00,108,1157.5,247.5,1049.5,4937,Rebose Hidrociclones L1,2.135,0.366,0.003,0.025,0,23.58,C_01_S01
2023/01/11,15:19:00,108,1306,466,1198,4943,Rebose Hidrociclones L1,2.247,0.361,0.004,0.02,0,38.9,C_01_S01
2023/01/11,15:22:00,109,1180,260,1071,4944,Relave Final,2.041,0.036,0,0.004,0,24.28,C_01_S03
2023/01/11,15:24:00,110,1056,293,946,4945,Concentrado Colectivo,28.88,23.57,0.166,1.08,7.86,30.97,C_01_S10
2023/01/11,15:25:00,109,1251.5,454,1142.5,4946,Concentrado Primario L2,24.34,16.48,0.107,0.81,22.36,39.74,C_01_S14
2023/01/16,22:08:00,110,1198,290.5,1088,4956,Relave Final,2.762,0.032,0,0.002,0,26.7,C_01_S03
2023/01/16,22:12:00,109,931,106,822,4957,Concentrado Colectivo,31.25,22.6,0.159,0.924,6.62,12.9,C_01_S10
2023/01/16,22:17:00,110,1160,221.5,1050,4955,Rebose Hidrociclones L2,3.545,0.315,0.004,0.012,0,21.1,C_01_S02
2023/01/16,22:24:00,108,1249,357.5,1141,4954,Rebose Hidrociclones L1,3.378,0.302,0.004,0.011,0,31.33,C_01_S01
2023/01/18,9:43:00,110,1290.5,432,1180.5,4963,Rebose Hidrociclones L2,3.632,0.3,0.005,0.016,0,36.59,C_01_S02
2023/01/18,9:45:00,110,1197,285.5,1087,4964,Relave Final,3.276,0.039,0,0.003,0,26.26,C_01_S03
2023/01/18,9:47:00,109,969,149.5,860,4965,Concentrado Colectivo,30.09,22.698,0.244,1.46,8.24,17.38,C_01_S10
2023/01/18,9:49:00,109.5,1225,407.5,1115.5,4966,Concentrado Primario L2,29.21,13.48,0.14,0.776,17.94,36.53,C_01_S14
2023/01/23,10:41:00,108,1269.5,415.5,1161.5,4975,Rebose Hidrociclones L1,2.975,0.319,0.003,0.015,0,35.77,C_01_S01
2023/01/23,10:43:00,109,1304,462.5,1195,4976,Rebose Hidrociclones L2,3.105,0.35,0.003,0.016,0,38.7,C_01_S02
2023/01/23,10:46:00,110,1197,289,1087,4977,Relave Final,2.684,0.043,0,0.003,0,26.59,C_01_S03
2023/01/23,10:48:00,109,960.5,146.5,851.5,4978,Concentrado Colectivo,30.89,25.873,0.129,1.2,5.36,17.2,C_01_S10
2023/01/23,10:49:00,109,1288,484.5,1179,4979,Concentrado Primario L2,30.17,14.516,0.071,0.7,20.16,41.09,C_01_S14
2023/01/25,10:41:00,109,1189.5,271.5,1080.5,4986,Relave Final,3.09,0.07,0,0.003,0,25.13,C_01_S03
2023/01/25,10:43:00,110,1316.5,470.5,1206.5,4988,Concentrado Primario L2,31.44,17.479,0.111,0.542,17.12,39,C_01_S14
2023/01/25,10:45:00,110,984,130,874,4987,Concentrado Colectivo,31.57,29.625,0.193,0.829,4.08,14.87,C_01_S10
2023/01/25,10:51:00,109.5,1244,350,1134.5,4984,Rebose Hidrociclones L1,3.56,0.449,0.006,0.013,0,30.85,C_01_S01
2023/01/25,11:06,110,1302,435.5,1192,4985,Rebose Hidrociclones L2,3.525,0.545,0.006,0.015,0,36.54,C_01_S02
2023/01/27,11:24:00,109,902,222,793,4993,Concentrado Primario L2,31.02,14.911,0.104,0.66,19.2,27.99,C_01_S14
2023/01/27,10:47,110,1176,239,1066,4991,Relave Final,2.64,0.044,0,0.004,0,22.42,C_01_S03
2023/01/27,10:42:00,108,1312,465,1204,4989,Rebose Hidrociclones L1,3.019,0.345,0.004,0.016,0,38.62,C_01_S01
2023/01/27,10:45,109,1322.5,490.5,1213.5,4990,Rebose Hidrociclones L2,2.786,0.512,0.005,0.02,0,40.42,C_01_S02
2023/01/27,10:49,109,1026,214,917,4992,Concentrado Colectivo,32.88,21.923,0.162,0.969,8.68,23.34,C_01_S10
2023/01/30,10:25,110,1049,268,939,4995,Concentrado Colectivo,32.41,20.384,0.106,1.148,8.36,28.54,C_01_S10
2023/01/30,10:41:47,110,1312.5,485,1202.5,4994,Rebose Hidrociclones L2,2.507,0.469,0.004,0.024,0,40.33,C_01_S02
2023/01/30,11.06,110,1329,513.5,1219,4996,Concentrado Primario L2,32.04,10.29,0.052,0.559,19.8,42.12,C_01_S14
2023/02/01,11:46:00,112.5,1281,397,1168.5,5000,Rebose Hidrociclones L1,2.704,0.428,0.004,0.017,0,33.98,C_01_S01
2023/02/01,11:49:00,112,1176,232.5,1064,5001,Rebose Hidrociclones L2,3.869,0.821,0.006,0.036,0,21.85,C_01_S02
2023/02/01,11:51:00,109.5,1169.5,210.5,1060,5002,Relave Final,3.261,0.055,0,0.002,0,19.86,C_01_S03
2023/02/01,11:53:00,111,1008,223,897,5003,Concentrado Colectivo,31.55,19.969,0.105,0.99,10.8,24.86,C_01_S10
2023/02/01,11:55:00,109.5,1261,409,1151.5,5004,Concentrado Primario L2,31.34,13.969,0.076,0.597,17.8,35.52,C_01_S14
2023/02/06,11:41:00,109,1019,112.5,910,5013,Relave Final,2.235,0.04,0.003,0.004,0,12.36,C_01_S03
2023/02/06,11:43:00,110,1206,393.5,1096,5012,Rebose Hidrociclones L2,2.641,0.702,0.007,0.029,0,35.9,C_01_S02
2023/02/06,11:47:00,109.5,1174.5,347.5,1065,5011,Rebose Hidrociclones L1,2.456,0.376,0.005,0.019,0,32.63,C_01_S01
2023/02/06,11:52:00,110,961.5,224,851.5,5014,Concentrado Colectivo,30,23.01,0.203,1.32,10.26,26.31,C_01_S10
2023/02/08,11:25:00,110,1167,233.5,1057,5020,Relave Final,2.383,0.064,0.003,0.003,0,22.09,C_01_S03
2023/02/08,11:27:00,109,1121.5,478.5,1012.5,5019,Rebose Hidrociclones L2,2.641,0.428,0.005,0.018,0,47.26,C_01_S02
2023/02/08,11:31:00,108,1114,440,1006,5018,Rebose Hidrociclones L1,3.04,0.469,0.005,0.021,0,43.74,C_01_S01
2023/02/08,11:32:00,109,1036,209.5,927,5021,Concentrado Colectivo,29.44,26.52,0.139,1.065,8.84,22.6,C_01_S10
2023/02/08,11:43:00,109,987.5,402,878.5,5022,Concentrado Primario L2,24.79,16.92,0.098,0.715,26.2,45.76,C_01_S14
2023/02/10,11:12:00,109.5,1301.5,141,1192,5023,Rebose Hidrociclones L1,2.727,0.573,0.005,0.02,0,11.83,C_01_S01
2023/02/10,11:14:00,110,1319,152.5,1209,5024,Rebose Hidrociclones L2,2.824,0.591,0.005,0.022,0,12.61,C_01_S02
2023/02/10,11:17:00,109,1159.5,255,1050.5,5025,Relave Final,2.402,0.074,0.002,0.002,0,24.27,C_01_S03
