date,time,tara,tweight,dweight,pweight,chemical_id,MUESTRA,%Fe,%Cu,%Zn,%Mo,%Ins,pSol,CODIGO_MUESTRA,time_hhmm,motivo_error
2023-08-14,9:43:00,108.5,1126.0,74.5,1017.5,5420.0,Cola Scavenger L1,15.99,0.501,0.0,0.016,0.0,7.32,C_01_S04,09:43,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-08-14 a las 09:43.
2023-08-18,10:45:00,108.5,1242.0,97.0,1133.5,5431.0,Cola Scavenger L1,23.36,0.385,0.0,0.032,0.0,8.56,C_01_S04,10:45,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-08-18 a las 10:45.
2023-08-21,9:52:00,111.0,1250.0,96.5,1139.0,5442.0,Cola Scavenger L1,13.49,0.438,0.0,0.022,0.0,8.47,C_01_S04,09:52,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-08-21 a las 09:52.
2023-08-23,9:47:00,111.0,1247.5,108.5,1136.5,5454.0,Cola Scavenger L1,14.91,0.452,0.0,0.018,0.0,9.55,C_01_S04,09:47,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-08-23 a las 09:47.
2023-08-25,10:41:47,,,,,5464.0,Relave Final,2.072,0.047,0.0,0.002,0.0,24.0,C_01_S03,10:41,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-08-25 a las 10:41.
2023-08-25,10:51:29,,,,,5463.0,Rebose Hidrociclones L1,3.616,0.375,0.005,0.011,0.0,22.0,C_01_S01,10:51,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-08-25 a las 10:51.
2023-08-25,11:06:00,,,,,5465.0,Cola Scavenger L1,13.45,0.409,0.0,0.018,0.0,8.0,C_01_S04,11:06,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-08-25 a las 11:06.
2023-08-28,16:50:00,108.5,1234.5,102.0,1126.0,5471.0,Cola Scavenger L1,15.1,0.553,0.0,0.02,0.0,9.06,C_01_S04,16:50,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-08-28 a las 16:50.
2023-08-31,10:44:00,110.0,1196.5,130.0,1086.5,5369.0,Cola Scavenger L2,17.88,0.31,,0.023,,11.97,C_01_S05,10:44,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-08-31 a las 10:44.
2023-08-31,10:50:00,110.5,1087.5,146.0,977.0,5372.0,Concentrado Primario L1,28.51,16.12,0.056,0.82,21.12,14.94,C_01_S15,10:50,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-08-31 a las 10:50.
2023-09-01,11:27:00,110.5,1271.5,142.0,1161.0,5482.0,Cola Scavenger L1,19.44,0.579,0.0,0.017,0.0,12.23,C_01_S04,11:27,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-09-01 a las 11:27.
2023-09-11,16:11:00,108.5,1217.0,94.5,1108.5,5492.0,Cola Scavenger L1,10.14,0.291,0.0,0.016,0.0,8.53,C_01_S04,16:11,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-09-11 a las 16:11.
2023-09-13,10:31:00,110.5,1216.5,108.0,1106.0,5500.0,Cola Scavenger L1,13.51,0.3,0.0,0.021,0.0,9.76,C_01_S04,10:31,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-09-13 a las 10:31.
2023-09-15,10:21:00,108.5,1229.0,94.5,1120.5,5510.0,Cola Scavenger L1,10.09,0.294,0.0,0.025,0.0,8.43,C_01_S04,10:21,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-09-15 a las 10:21.
2023-09-18,10:33:00,111.0,1243.5,131.5,1132.5,5523.0,Cola Scavenger L1,9.67,0.265,0.0,0.013,0.0,11.61,C_01_S04,10:33,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-09-18 a las 10:33.
2023-09-20,10:55:00,108.5,1269.5,135.5,1161.0,5534.0,Cola Scavenger L1,10.84,0.64,0.0,0.034,0.0,11.67,C_01_S04,10:55,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-09-20 a las 10:55.
2023-09-22,10:42:00,111.0,1229.0,103.0,1118.0,5544.0,Cola Scavenger L1,18.72,0.735,0.0,0.024,0.0,9.21,C_01_S04,10:42,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-09-22 a las 10:42.
2023-09-26,11:08:00,108.5,1242.5,108.0,1134.0,5555.0,Cola Scavenger L1,17.73,0.48,0.0,0.032,0.0,9.52,C_01_S04,11:08,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-09-26 a las 11:08.
2023-09-29,12:06:00,110.5,1176.5,101.0,1066.0,5567.0,Cola Scavenger L1,16.75,0.548,0.0,0.036,0.0,9.47,C_01_S04,12:06,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-09-29 a las 12:06.
2023-10-04,10:19:00,111.0,1190.5,109.5,1079.5,5579.0,Cola Scavenger L2,15.41,0.633,0.0,0.023,0.0,10.14,C_01_S05,10:19,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-10-04 a las 10:19.
2023-10-09,11:30:00,108.5,1238.0,87.5,1129.5,5588.0,Cola Scavenger L1,13.55,0.402,0.0,0.015,0.0,7.75,C_01_S04,11:30,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-10-09 a las 11:30.
2023-10-16,11:50:00,110.0,1210.0,126.0,1100.0,5609.0,Cola Scavenger L1,12.5,0.312,0.01,0.014,0.0,11.45,C_01_S04,11:50,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-10-16 a las 11:50.
2023-10-18,10:44:00,108.5,1274.5,126.0,1166.0,5621.0,Cola Scavenger L1,17.16,0.404,0.01,0.008,0.0,10.81,C_01_S04,10:44,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-10-18 a las 10:44.
2023-11-24,11:06,111.5,875.0,317.5,763.5,5680.0,Rebose Hidrociclones L2,2.47,0.448,0.0,0.016,0.0,41.58,C_01_S02,11:06,"Fallo Muestra/Código: A esa hora existen las muestras ['Concentrado 1ra Limpieza L1 [C_01_S08]'], pero no 'Rebose Hidrociclones L2' ['C_01_S02']."
2023-11-27,11:43:00,110.0,861.0,215.0,751.0,5688.0,Concentrado Colectivo,29.63,23.383,0.097,1.69,8.76,28.63,C_01_S10,11:43,"Fallo Muestra/Código: A esa hora existen las muestras ['Concentrado 1ra Limpieza L1 [C_01_S08]'], pero no 'Concentrado Colectivo' ['C_01_S10']."
2023-12-24,10:39:00,108.5,1277.0,67.0,1168.5,5745.0,Cola Scavenger L1,19.42,0.359,0.0,0.0356,0.0,5.73,C_01_S04,10:39,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-12-24 a las 10:39.
2023-12-27,11:01:00,108.5,1187.5,176.0,1079.0,5753.0,Cola Scavenger L1,17.5,0.244,0.0,0.016,0.0,16.31,C_01_S04,11:01,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2023-12-27 a las 11:01.
2024-01-01,11:53:00,108.5,1118.0,81.0,1009.5,5768.0,Cola Scavenger L1,11.81,0.342,0.0,0.035,0.0,8.02,C_01_S04,11:53,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-01-01 a las 11:53.
2024-01-03,12:52:00,110.5,1135.5,111.5,1025.0,5781.0,Cola Scavenger L1,12.34,0.245,0.0,0.017,0.0,10.88,C_01_S04,12:52,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-01-03 a las 12:52.
2024-01-05,11:44:00,108.5,1078.0,68.5,969.5,5789.0,Cola Scavenger L1,6.66,0.165,0.0,0.014,0.0,7.07,C_01_S04,11:44,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-01-05 a las 11:44.
2024-01-08,11:48:00,110.5,1083.5,39.5,973.0,5802.0,Cola Scavenger L1,19.04,0.312,0.0,0.012,0.0,4.06,C_01_S04,11:48,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-01-08 a las 11:48.
2024-01-15,17:12:00,110.5,1115.5,111.5,1005.0,5811.0,Cola Scavenger L1,11.74,0.098,0.0,0.01,0.0,11.09,C_01_S04,17:12,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-01-15 a las 17:12.
2024-01-17,10:35:00,111.0,986.5,69.5,875.5,5822.0,Cola Scavenger L1,9.17,0.161,0.0,0.015,0.0,7.94,C_01_S04,10:35,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-01-17 a las 10:35.
2024-02-01,16:33:00,110.5,1086.0,61.0,975.5,5835.0,Cola Scavenger L1,8.43,0.174,0.0,0.01,0.0,6.25,C_01_S04,16:33,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-02-01 a las 16:33.
2024-02-02,10:55:00,108.5,1097.0,113.5,988.5,5844.0,Cola Scavenger L1,5.3,0.138,0.0,0.012,0.0,11.48,C_01_S04,10:55,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-02-02 a las 10:55.
2024-02-06,10:01:00,109.5,1126.5,122.5,1017.0,5859.0,Cola Scavenger L1,14.07,0.205,0.0,0.008,0.0,12.05,C_01_S04,10:01,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-02-06 a las 10:01.
2024-02-07,15:49:00,108.5,921.5,95.5,813.0,5867.0,Cola Scavenger L1,15.48,0.169,0.0,0.006,0.0,11.75,C_01_S04,15:49,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-02-07 a las 15:49.
2024-02-09,10:12:00,108.5,1076.0,97.0,967.5,5874.0,Cola Scavenger L1,10.2,0.104,0.0,0.005,0.0,10.03,C_01_S04,10:12,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-02-09 a las 10:12.
2024-02-19,15:40:00,108.5,1134.5,157.5,1026.0,5897.0,Cola Scavenger L1,12.39,0.211,0.0,0.0122,0.0,15.35,C_01_S04,15:40,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-02-19 a las 15:40.
2024-02-28,16:05:00,108.5,945.5,91.0,837.0,5914.0,Cola Scavenger L1,14.001,0.364,0.0,0.007,0.0,10.87,C_01_S04,16:05,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-02-28 a las 16:05.
2024-03-15,15:43:00,111.0,851.0,189.0,740.0,,Relave Final,1.979,0.074,0.0,0.01,0.0,25.54,C_01_S03,15:43,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-03-15 a las 15:43.
2024-03-20,12:31:00,110.0,1035.5,388.5,925.5,,Concentrado Primario L1,32.991,11.201,0.091,0.541,22.38,41.98,C_01_S15,12:31,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-03-20 a las 12:31.
2024-03-29,12:25:00,110.0,927.0,321.0,817.0,1711729346.0,Rebose Hidrociclones L2,2.199,0.648,0.004,0.037,0.0,39.29,C_01_S02,12:25,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-03-29 a las 12:25.
2024-04-19,12:05:00,108.5,1111.5,140.5,1003.0,1713545678.0,Cola Scavenger L1,24.558,0.258,0.0,0.009,0.0,14.01,C_01_S04,12:05,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-04-19 a las 12:05.
2024-04-19,23:48:00,110.5,857.5,222.5,747.0,1713544988.0,Relave Final,1.992,0.077,0.0,0.007,0.0,29.79,C_01_S03,23:48,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-04-19 a las 23:48.
2024-04-22,10:48:00,110.5,1083.5,104.0,973.0,1713800566.0,Cola Scavenger L1,18.918,0.198,0.0,0.009,0.0,10.69,C_01_S04,10:48,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-04-22 a las 10:48.
2024-04-24,10:53:00,108.5,1074.5,70.0,966.0,1713973733.0,Cola Scavenger L1,13.794,0.585,0.0,0.016,0.0,7.25,C_01_S04,10:53,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-04-24 a las 10:53.
2024-04-26,11:18:00,110.5,1100.0,1121.5,989.5,1714147788.0,Cola Scavenger L1,20.21,0.191,0.0,0.011,0.0,113.34,C_01_S04,11:18,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-04-26 a las 11:18.
2024-04-29,11:26:00,110.0,887.0,310.0,777.0,1714407936.0,Rebose Hidrociclones L2,1.852,0.593,0.003,0.029,0.0,39.9,C_01_S02,11:26,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-04-29 a las 11:26.
2024-04-29,11:31:00,110.5,1085.0,98.0,974.5,1714407939.0,Cola Scavenger L1,21.574,0.317,0.0,0.01,0.0,10.06,C_01_S04,11:31,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-04-29 a las 11:31.
2024-05-01,10:30:00,110.5,1071.0,97.0,960.5,1714576869.0,Cola Scavenger L1,23.655,0.323,0.0,0.012,0.0,10.1,C_01_S04,10:30,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-01 a las 10:30.
2024-05-03,11:07:00,108.5,1126.0,127.5,1017.5,1714752022.0,Cola Scavenger L1,17.23,0.212,0.0,0.009,0.0,12.53,C_01_S04,11:07,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-03 a las 11:07.
2024-05-06,11:22:00,108.5,1138.0,141.5,1029.5,1715012161.0,Cola Scavenger L1,24.046,0.183,0.0,0.031,0.0,13.74,C_01_S04,11:22,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-06 a las 11:22.
