date,time,tara,tweight,dweight,pweight,chemical_id,MUESTRA,%Fe,%Cu,%Zn,%Mo,%Ins,pSol,CODIGO_MUESTRA,time_hhmm
2023-04-14,10:57:00,110.0,1017.0,200.0,907.0,5160.0,Concentrado Colectivo,29.86,25.18,0.177,1.44,9.44,22.05,C_01_S10,10:57
2023-04-17,16:13:00,109.0,994.5,179.5,885.5,5168.0,Concentrado Colectivo,25.24,27.56,0.149,1.51,8.02,20.27,C_01_S10,16:13
2023-04-19,10:36:00,100.0,972.0,156.0,872.0,5176.0,Concentrado Colectivo,30.24,24.78,0.2,1.11,6.5,17.89,C_01_S10,10:36
2023-04-21,10:46:00,109.0,998.5,232.0,889.5,5181.0,Concentrado Colectivo,30.7,27.96,0.292,1.47,4.88,26.08,C_01_S10,10:46
2023-04-24,12:29:00,110.0,1053.0,270.0,943.0,5190.0,Concentrado Colectivo,31.61,23.98,0.094,1.23,6.48,28.63,C_01_S10,12:29
2023-04-26,12:12:00,110.0,1057.0,284.0,947.0,5199.0,Concentrado Colectivo,30.71,23.82,0.137,1.21,9.18,29.99,C_01_S10,12:12
2023-04-28,10:55:00,109.0,1044.5,232.5,935.5,5207.0,Concentrado Colectivo,30.92,25.37,0.203,1.61,6.0,24.85,C_01_S10,10:55
2023-05-03,11:20:00,110.0,762.5,26.5,652.5,5218.0,Concentrado Colectivo,30.37,23.17,0.129,0.811,7.12,4.06,C_01_S10,11:20
2023-05-10,11:59:00,110.0,1028.5,277.5,918.5,5231.0,Concentrado Colectivo,30.91,25.62,0.292,1.26,5.4,30.21,C_01_S10,11:59
2023-05-12,12:33:00,111.5,976.0,182.0,864.5,5239.0,Concentrado Colectivo,29.99,24.87,0.141,1.85,6.54,21.05,C_01_S10,12:33
2023-05-17,10:39:00,110.0,616.5,109.0,506.5,5254.0,Concentrado Colectivo,29.68,20.97,0.156,2.411,10.16,21.52,C_01_S10,10:39
2023-05-22,11:30:00,110.0,973.0,145.5,863.0,5261.0,Concentrado Colectivo,31.49,21.17,0.133,1.324,7.76,16.86,C_01_S10,11:30
2023-05-24,17:26:00,110.0,942.5,215.5,832.5,5269.0,Concentrado Colectivo,30.63,24.88,0.142,1.326,6.6,25.89,C_01_S10,17:26
2023-05-26,11:15:00,110.0,922.5,204.0,812.5,5277.0,Concentrado Colectivo,30.1,23.98,0.204,1.197,7.76,25.11,C_01_S10,11:15
2023-05-31,12:01:00,110.0,965.5,186.5,855.5,5289.0,Concentrado Colectivo,30.12,25.47,0.131,0.943,7.42,21.8,C_01_S10,12:01
2023-06-02,10:21:00,110.0,914.0,137.5,804.0,5297.0,Concentrado Colectivo,29.5,22.39,0.373,1.281,10.4,17.1,C_01_S10,10:21
2023-06-05,10:42:00,111.0,934.5,212.5,823.5,5301.0,Concentrado Colectivo,29.91,22.4,0.0,1.104,9.28,25.8,C_01_S10,10:42
2023-06-07,12:16:00,111.0,937.0,188.5,826.0,5307.0,Concentrado Colectivo,28.53,22.7,0.17,1.342,11.0,22.82,C_01_S10,12:16
2023-06-14,16:45:00,111.5,444.0,113.0,332.5,5311.0,Concentrado Colectivo,28.78,20.7,0.121,0.711,10.52,33.98,C_01_S10,16:45
2023-06-19,11:19:00,111.5,776.0,135.0,664.5,5321.0,Concentrado Colectivo,30.7,20.3,0.263,0.379,7.6,20.32,C_01_S10,11:19
2023-06-26,11:28:00,111.5,1011.5,340.0,900.0,5330.0,Concentrado Colectivo,30.72,23.07,0.247,0.485,,37.78,C_01_S10,11:28
2023-07-14,12:10:00,110.0,1020.5,317.5,910.5,5346.0,Concentrado Colectivo,30.05,24.87,0.133,0.578,8.12,34.87,C_01_S10,12:10
2023-07-19,11:28:00,110.0,990.0,290.0,880.0,5357.0,Concentrado Colectivo,30.09,20.19,0.178,0.73,12.8,32.95,C_01_S10,11:28
2023-07-20,11:34:00,111.0,977.0,281.0,866.0,5363.0,Concentrado Colectivo,30.8,22.18,0.112,0.88,9.52,32.45,C_01_S10,11:34
2023-07-31,10:52:00,111.0,1036.0,321.0,925.0,5370.0,Concentrado Colectivo,30.53,23.23,0.073,1.04,10.08,34.7,C_01_S10,10:52
2023-08-02,11:54:00,111.0,832.0,334.5,721.0,5377.0,Concentrado Colectivo,30.15,21.07,0.075,1.4,11.32,46.39,C_01_S10,11:54
2023-08-07,17:02:00,111.5,992.0,239.5,880.5,5391.0,Concentrado Colectivo,28.3,20.58,0.079,1.68,14.7,27.2,C_01_S10,17:02
2023-08-11,11:52:00,111.0,1023.5,241.5,912.5,5411.0,Concentrado Colectivo,27.35,22.47,0.112,1.47,16.08,26.47,C_01_S10,11:52
2023-08-14,9:48:00,111.5,1028.0,305.0,916.5,5422.0,Concentrado Colectivo,30.36,22.67,0.116,1.48,9.44,33.28,C_01_S10,09:48
2023-08-18,10:57:00,111.5,11175.0,339.5,11063.5,5433.0,Concentrado Colectivo,29.54,25.67,0.173,0.874,6.98,3.07,C_01_S10,10:57
2023-08-21,10:10:00,111.0,3280.0,77.5,3169.0,5444.0,Concentrado Colectivo,28.27,23.67,0.098,1.098,9.94,2.45,C_01_S10,10:10
2023-08-23,9:53:00,111.0,316.0,59.5,205.0,5456.0,Concentrado Colectivo,29.73,22.79,0.254,0.774,8.7,29.02,C_01_S10,09:53
2023-08-25,11:11:00,,,,,5467.0,Concentrado Colectivo,30.71,24.08,0.152,0.728,6.2,20.0,C_01_S10,11:11
2023-08-28,16:56:00,111.5,335.5,92.5,224.0,5473.0,Concentrado Colectivo,28.68,24.28,0.146,0.665,8.3,41.29,C_01_S10,16:56
2023-09-11,16:27:00,111.5,298.0,43.0,186.5,5493.0,Concentrado Colectivo,28.32,21.99,0.0,1.211,0.0,23.06,C_01_S10,16:27
2023-09-13,10:33:00,110.0,316.0,70.5,206.0,5501.0,Concentrado Colectivo,28.34,21.094,0.0,1.211,0.0,34.22,C_01_S10,10:33
2023-09-15,10:23:00,111.5,311.5,78.5,200.0,5511.0,Concentrado Colectivo,29.19,21.17,0.13,0.94,11.78,39.25,C_01_S10,10:23
2023-09-18,11:16:00,110.0,934.0,312.5,824.0,5525.0,Concentrado Colectivo,24.82,17.38,0.062,1.75,22.92,37.92,C_01_S10,11:16
2023-09-20,10:49:00,111.5,907.5,269.5,796.0,5535.0,Concentrado Colectivo,28.49,27.76,0.109,1.45,7.04,33.86,C_01_S10,10:49
2023-09-22,10:47:00,110.0,853.0,160.5,743.0,5546.0,Concentrado Colectivo,28.49,24.47,0.151,1.533,8.94,21.6,C_01_S10,10:47
2023-09-26,11:17:00,111.5,860.5,155.0,749.0,5557.0,Concentrado Colectivo,28.34,22.26,0.09,1.689,9.16,20.69,C_01_S10,11:17
2023-09-29,12:07:00,110.0,894.5,243.0,784.5,5569.0,Concentrado Colectivo,27.57,24.76,0.084,1.86,9.08,30.98,C_01_S10,12:07
2023-10-04,10:25:00,110.0,866.5,212.5,756.5,5580.0,Concentrado Colectivo,29.65,24.17,0.125,1.523,7.7,28.09,C_01_S10,10:25
2023-10-09,11:32:00,111.5,864.5,190.0,753.0,5590.0,Concentrado Colectivo,30.83,24.065,0.119,0.706,7.04,25.23,C_01_S10,11:32
2023-10-13,11:00:00,111.5,980.0,390.5,868.5,5600.0,Concentrado Colectivo,33.89,19.077,0.094,0.504,6.86,44.96,C_01_S10,11:00
2023-10-16,11:36:00,110.0,850.0,227.5,740.0,5611.0,Concentrado Colectivo,29.63,22.972,0.095,0.901,10.26,30.74,C_01_S10,11:36
2023-10-18,10:45:00,111.5,912.5,250.5,801.0,5623.0,Concentrado Colectivo,30.6,22.67,0.179,0.97,7.92,31.27,C_01_S10,10:45
2023-10-23,12:49:00,111.5,875.5,223.0,764.0,5626.0,Concentrado Colectivo,29.4,24.17,0.169,0.63,9.28,29.19,C_01_S10,12:49
2023-10-27,11:12:00,110.0,883.0,229.5,773.0,5632.0,Concentrado Colectivo,27.72,25.87,0.108,0.78,10.98,29.69,C_01_S10,11:12
2023-10-30,10:54:00,111.5,908.5,281.5,797.0,5638.0,Concentrado Colectivo,25.81,26.61,0.088,0.634,10.86,35.32,C_01_S10,10:54
2023-11-03,11:56:00,110.0,9000.0,243.5,8890.0,5645.0,Concentrado Colectivo,28.83,26.36,0.0,1.203,10.34,2.74,C_01_S10,11:56
2023-11-08,12:53:00,111.5,901.5,267.5,790.0,5650.0,Concentrado Colectivo,23.84,22.32,0.088,1.45,14.32,33.86,C_01_S10,12:53
2023-11-13,10:35:00,111.5,880.0,256.0,768.5,5654.0,Concentrado Colectivo,28.34,23.78,0.248,0.75,10.84,33.31,C_01_S10,10:35
2023-11-20,9:42:00,110.0,898.0,286.0,788.0,5664.0,Concentrado Colectivo,29.76,24.88,0.0,1.0,8.36,36.29,C_01_S10,09:42
2023-11-22,10:39:00,111.5,915.0,287.5,803.5,5674.0,Concentrado Colectivo,30.4,20.4,0.0,1.106,9.76,35.78,C_01_S10,10:39
2023-11-24,11:09:00,110.0,823.0,213.0,713.0,5684.0,Concentrado Colectivo,30.36,23.98,0.0,0.869,6.12,29.87,C_01_S10,11:09
2023-11-29,12:39:00,110.0,848.0,214.0,738.0,5695.0,Concentrado Colectivo,29.11,25.373,0.091,1.178,9.94,29.0,C_01_S10,12:39
2023-12-04,16:42:00,111.5,809.5,152.0,698.0,5700.0,Concentrado Colectivo,24.89,24.079,0.141,2.248,14.0,21.78,C_01_S10,16:42
2023-12-08,12:19:00,111.5,905.5,275.0,794.0,5713.0,Concentrado Colectivo,30.14,24.98,0.106,0.981,8.2,34.63,C_01_S10,12:19
2023-12-11,16:31:00,110.0,890.5,255.0,780.5,5721.0,Concentrado Colectivo,30.27,23.49,0.153,1.615,8.0,32.67,C_01_S10,16:31
2023-12-18,11:06,11.5,883.0,238.5,871.5,5727.0,Concentrado Colectivo,29.57,29.34,0.116,1.48,5.2,27.37,C_01_S10,11:06
2023-12-20,12:02:00,110.0,750.5,21.0,640.5,5735.0,Concentrado Colectivo,30.21,26.76,0.112,1.57,7.76,3.28,C_01_S10,12:02
2023-12-22,19:22:00,110.0,769.5,4.5,659.5,5741.0,Concentrado Colectivo,28.06,29.04,0.0,1.969,6.0,0.68,C_01_S10,19:22
2023-12-24,10:44:00,111.5,848.0,157.0,736.5,5749.0,Concentrado Colectivo,28.68,26.76,0.114,5.29,6.02,21.32,C_01_S10,10:44
2023-12-27,11:16:00,111.5,843.5,155.5,732.0,5757.0,Concentrado Colectivo,28.57,23.69,0.047,1.44,8.5,21.24,C_01_S10,11:16
2024-01-01,12:06:00,111.5,844.5,187.5,733.0,5772.0,Concentrado Colectivo,28.77,21.848,0.059,1.265,8.62,25.58,C_01_S10,12:06
