date,time, tara , tweight , dweight , pweight ,chemical_id,MUESTRA,pFe,pCu,pZn,pMo,pIns,pSol
2023-08-18,10:57:00,  111.5 ,11175.,  339.5 ,11063.5,5433,Concentrado Colectivo,29.540,25.670,0.173,0.874,6.980,3.07
2023-08-18,11:01:00,  111.5 ,1086.,  76.0 ,974.5,5434,Concentrado Primario L1,28.260,19.780,0.135,0.725,14.340,7.80
2023-08-21,09:48:00,  110.5 ,862.5,  209.5 ,752.,5441,Relave Final,1.901,0.067,0.000,0.004,0.000,27.86
2023-08-21,09:52:00,  111.0 ,1250.,  96.5 ,1139.,5442,Cola Scavenger L1,13.490,0.438,0.000,0.022,0.000,8.47
2023-08-21,09:55:00,  110.0 ,1395.,  57.0 ,1285.,5443,Cola Scavenger L2,14.060,0.715,0.000,0.019,0.000,4.44
2023-08-21,09:58:00,  110.0 ,917.,  299.0 ,807.,5439,Rebose Hidrociclones L1,2.492,0.488,0.005,0.024,0.000,37.05
2023-08-21,10:02:00,  111.5 ,891.5,  322.5 ,780.,5440,Rebose Hidrociclones L2,2.493,0.466,0.004,0.024,0.000,41.35
2023-08-21,10:06:00,  111.0 ,1197.,  504.5 ,1086.,5445,Concentrado Primario L2,25.460,17.480,0.075,0.792,21.980,46.45
2023-08-21,10:09:00,  110.5 ,1212.5,  200.0 ,1102.,5446,Concentrado Primario L1,25.150,16.480,0.079,0.824,24.200,18.15
2023-08-21,10:10:00,  111.0 ,3280.,  77.5 ,3169.,5444,Concentrado Colectivo,28.270,23.670,0.098,1.098,9.940,2.45
2023-08-23,09:43:00,  110.5 ,840.,  175.5 ,729.5,5453,Relave Final,2.481,0.063,0.000,0.002,0.000,24.06
2023-08-23,09:45:00,  110.5 ,1202.5,  184.5 ,1092.,5458,Concentrado Primario L1,26.370,13.080,0.198,0.496,24.900,16.90
2023-08-23,09:47:00,  111.0 ,1247.5,  108.5 ,1136.5,5454,Cola Scavenger L1,14.910,0.452,0.000,0.018,0.000,9.55
2023-08-23,09:49:00,  111.0 ,1385.5,  504.5 ,1274.5,5457,Concentrado Primario L2,28.390,14.230,0.185,0.481,19.700,39.58
2023-08-23,09:52:00,  110.0 ,1175.,  43.0 ,1065.,5455,Cola Scavenger L2,14.410,0.495,0.000,0.016,0.000,4.04
2023-08-23,09:53:00,  111.0 ,316.,  59.5 ,205.,5456,Concentrado Colectivo,29.730,22.790,0.254,0.774,8.700,29.02
2023-08-23,09:56:00,  110.0 ,879.,  263.0 ,769.,5451,Rebose Hidrociclones L1,3.550,0.459,0.009,0.017,0.000,34.20
2023-08-23,10:05:00,  111.5 ,896.,  312.5 ,784.5,5452,Rebose Hidrociclones L2,3.342,0.411,0.009,0.014,0.000,39.83
2023-08-25,,,,,,5465,Cola Scavenger L1,13.450,0.409,0.000,0.018,0.000,8.00
2023-08-25,,,,,,5466,Cola Scavenger L2,21.470,0.748,0.000,0.030,0.000,4.00
2023-08-25,,,,,,5467,Concentrado Colectivo,30.710,24.080,0.152,0.728,6.200,20.00
2023-08-25,,,,,,5468,Concentrado Primario L1,29.810,13.030,0.095,0.449,19.600,16.00
2023-08-25,,,,,,5463,Rebose Hidrociclones L1,3.616,0.375,0.005,0.011,0.000,22.00
2023-08-25,,,,,,5464,Relave Final,2.072,0.047,0.000,0.002,0.000,24.00
2023-08-28,16:44:00,  111.5 ,894.,  314.5 ,782.5,5469,Rebose Hidrociclones L2,2.698,0.423,0.005,0.014,0.000,40.19
2023-08-28,16:47:00,  111.0 ,831.,  151.5 ,720.,5470,Relave Final,1.858,0.069,0.000,0.004,0.000,21.04
2023-08-28,16:50:00,  108.5 ,1234.5,  102.0 ,1126.,5471,Cola Scavenger L1,15.100,0.553,0.000,0.020,0.000,9.06
2023-08-28,16:54:00,  108.5 ,1211.5,  44.0 ,1103.,5472,Cola Scavenger L2,14.740,0.516,0.000,0.017,0.000,3.99
2023-08-28,16:56:00,  111.5 ,335.5,  92.5 ,224.,5473,Concentrado Colectivo,28.680,24.280,0.146,0.665,8.300,41.29
2023-08-28,16:57:00,  109.0 ,1401.5,  530.5 ,1292.5,5474,Concentrado Primario L2,26.390,17.160,0.103,0.471,20.700,41.04
2023-08-28,17:00:00,  110.0 ,1241.5,  226.5 ,1131.5,5475,Concentrado Primario L1,26.200,16.370,0.111,0.496,21.880,20.02
2023-08-31,10:44:00,  110.0 ,1196.5,  130.0 ,1086.5,5369,Cola Scavenger L2,17.880,0.310,,0.023,,11.97
2023-08-31,10:50:00,  110.5 ,1087.5,  146.0 ,977.,5372,Concentrado Primario L1,28.510,16.120,0.056,0.820,21.120,14.94
2023-09-01,11:24:00,  109.0 ,800.5,  109.5 ,691.5,5481,Relave Final,2.860,0.246,0.000,0.004,0.000,15.84
2023-09-01,11:27:00,  110.5 ,1271.5,  142.0 ,1161.,5482,Cola Scavenger L1,19.440,0.579,0.000,0.017,0.000,12.23
